ISBN,abstract,address,archivePrefix,authors,booktitle,doi,eprint,highlight,issn,journal,month,note,number,organization,pages,primaryClass,publisher,school,title,volume,year,url
,,,,"Zanzotto, Fabio Massimo; Pennacchiotti, Marco; Moschitti, Alessandro",TAC,,,,,,,,,,,,,,PeMoZa Submission to TAC 2008.,,2008,
,,,,"Pennacchiotti, Marco; Zanzotto, Fabio Massimo",International Conference on Natural Language Processing,,,,,,,,,"Springer Berlin Heidelberg Berlin, Heidelberg",371--382,,,,Natural Language Processing across time: an empirical investigation on Italian,,2008,
,,,,"Moschitti, Alessandro; Zanzotto, Fabio Massimo",Coling 2008: Proceedings of the 3rd Textgraphs workshop on Graph-based Algorithms for Natural Language Processing,,,,,,,,,,25--32,,,,Encoding tree pair-based graphs in learning algorithms: the textual entailment recognition case,,2008,
,,,,"Fallucchi, Francesca; Zanzotto, Fabio Massimo",LREC,,,,,,,,,,,,,,Yet another Platform for Extracting Knowledge from Corpora.,,2008,
,,,,"Zanzotto, Fabio Massimo; Pennacchiotti, Marco; Moschitti, Alessandro",Proceedings of the ACL-PASCAL workshop on textual entailment and paraphrasing,,,,,,,,,,72--77,,,,Shallow semantic in fast textual entailment rule learners,,2007,
,,,,"Zanzotto, FM; others",,,,,,Intelligenza artificiale,,,2,,,,,,Lost in grammar translation,4,2007,
,,,,"Pennacchiotti, Marco; Zanzotto, Fabio Massimo; others",RECENT ADVANCES IN NATURAL LANGUAGE PROCESSING,,,,,,,,,,458,,,,Learning shallow semantic rules for textual entailment,,2007,
,,,,"Moschitti, Alessandro; Zanzotto, Fabio Massimo",Proceedings of the 24th international conference on Machine learning,,,,,,,,,,649--656,,,,Fast and effective kernels for relational learning from texts,,2007,
,,,,"Zanzotto, Fabio Massimo; Moschitti, Alessandro",Workshop of the Cross-Language Evaluation Forum for European Languages,,,,,,,,,"Springer Berlin Heidelberg Berlin, Heidelberg",510--517,,,,Experimenting a “general purpose” textual entailment learner in AVE,,2006,
,,,,"Zanzotto, Fabio Massimo; Moschitti, Alessandro",Proceedings of TextGraphs: the First Workshop on Graph Based Methods for Natural Language Processing,,,,,,,,,,33--36,,,,Similarity between pairs of co-indexed trees for textual entailment recognition,,2006,
,,,,"Zanzotto, FM; Pennacchiotti, Marco; Pazienza, MT; others",Proceedings of 44th Annual meeting of the Association for computational linguistics (ACL)-(GGS Conference Rating 1 A++),,,,,,,,,Association for Computational Linguistics,849--856,,,,Discovering asymmetric entailment relations between verbs using selectional preferences,2,2006,
,,,,"Zanzotto, FM; Moschitti, Alessandro; others",Proceedings of 44th Annual meeting of the Association for computational linguistics (ACL)-(GGS Conference Rating 1 A++),,,,,,,,,Association for Computational Linguistics,401--408,,,,Automatic learning of textual entailments with cross-pair similarities,1,2006,
,,,,"Zanzotto, FM; Moschitti, Alessandro; Pennacchiotti, Marco; Pazienza, MT; others","The Second PASCAL recognizing textual entailment challenge: proceedings of the challenges workshop/Bernardo Magnini, Ido Dagan (editors)",,,,,,,,,PASCAL,50,,,,Learning textual entailment from examples,,2006,
,,,,"Shehata, Alessandro Bahgat; Zanzotto, Fabio Massimo",LREC,,,,,,,,,,2508--2513,,,,A Dependency-based Algorithm for Grammar Conversion.,,2006,
,,,,"Pazienza, Maria Teresa; Pennacchiotti, Marco; Zanzotto, Fabio Massimo",LREC,,,,,,,,,,1372--1377,,,,"Mixing WordNet, VerbNet and PropBank for studying verb relations.",,2006,
,,,,"Pazienza, Maria Teresa; Pennacchiotti, Marco; Zanzotto, Fabio Massimo","International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems",,,,,,,,,"Springer Berlin Heidelberg Berlin, Heidelberg",1042--1052,,,,Discovering verb relations in corpora: Distributional versus non-distributional approaches,,2006,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",Recent Advances in Natural Language Processing III: Selected papers from RANLP 2003,,,,,,,,,,131--140,,John Benjamins Publishing Company,,Inducing hyperlinking rules in text collections,,2006,
,,,,"Zanzotto, Fabio Massimo; Pazienza, Maria Teresa; Pennacchiotti, Marco",Proceedings of the ACL Workshop on Empirical Modeling of Semantic Equivalence and Entailment,,,,,,,,,,37--42,,,,Discovering entailment relations using “textual entailment patterns”,,2005,
,,,,"Pazienza, Maria Teresa; Stellato, Armando; Henriksen, Lina; Paggio, Patrizia; Zanzotto, Fabio Massimo",Proceedings of the second MEANING workshop,,,,,,,,,,,,,,Ontology Mapping to support ontology-based question answering,,2005,
,,,,"Pazienza, Maria Teresa; Stellato, Armando; Henriksen, Lina; Paggio, Patrizia; Zanzotto, Fabio Massimo","Proceedings of the Fourth International Semantic Web Conference (ISWC), Galway, Ireland",,,,,,,,,,,,,,Ontology mapping to support multilingual ontology-based question answering,,2005,
,,,,"Pazienza, Maria Teresa; Pennacchiotti, Marco; Zanzotto, Fabio Massimo",,,,,,Knowledge Mining,,,,,255--279,,Springer Berlin/Heidelberg,,Terminology extraction: an analysis of linguistic and statistical approaches,,2005,
,,,,"Pazienza, Maria Teresa; Pennacchiotti, Marco; Zanzotto, Fabio Massimo",Proceedings of the First PASCAL Challenges Workshop on Recognizing Textual Entailment,,,,,,,,,,25--28,,,,Textual entailment as syntactic graph distance: a rule based and a SVM based approach,,2005,
,,,,"Pazienza, Maria Teresa; Pennacchiotti, Marco; Zanzotto, Fabio Massimo",Congress of the Italian Association for Artificial Intelligence,,,,,,,,,"Springer Berlin Heidelberg Berlin, Heidelberg",315--326,,,,A linguistic inspection of textual entailment,,2005,
,,,,"Pazienza, Maria Teresa; Pennacchiotti, Marco; Zanzotto, Fabio Massimo",Machine Learning Challenges Workshop,,,,,,,,,"Springer Berlin Heidelberg Berlin, Heidelberg",240--260,,,,Learning textual entailment on a distance feature space,,2005,
,,,,"Pazienza, Maria Teresa; Pennacchiotti, Marco; Vindigni, Michele; Zanzotto, Fabio Massimo","International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems",,,,,,,,,"Springer Berlin Heidelberg Berlin, Heidelberg",239--248,,,,AI/NLP technologies applied to spacecraft mission design,,2005,
,,,,"Basili, Roberto; Pennacchiotti, Marco; Zanzotto, Fabio Massimo","2nd Meaning Workshop, Trento, Italy",,,,,,,,,,,,,,Language learning and ontology engineering: an integrated model for the semantic web,,2005,
,,,,"Basili, Roberto; Moschitti, Alessandro; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",,,,,,IEEE Intelligent systems,,,1,,62--70,,IEEE,,Personalizing web publishing via information extraction,18,2005,
,,,,"Basili, Roberto; Cammisa, Marco; Marabello, Maria Vittoria; Pennacchiotti, Marco; Saracino, Dario; Zanzotto, Fabio Massimo",SWAP,,,,,,,,,,,,,,Ontology-driven Information Retrieval in FF-Poirot.,,2005,
,,,,"Zanzotto, Fabio Massimo; Stellato, Armando",Workshop Programme,,,,,,,,,,43,,,,Exploiting the Semantic Fingerprint for Tagging” Unseen” Words,,2004,
,,,,"Pazienza, Maria Teresa; Stellato, Armando; Vindigni, Michele; Zanzotto, Fabio Massimo; others",Meaning Coordination and Negotiation (MCN-04),,,,,,,,,,83--94,,Dep. Of Information Engineering and Computer Science University of Trento,,XeOML: An XML-based extensible ontology mapping language,,2004,
,,,,"Pazienza, Maria Teresa; Stellato, Armando; Vindigni, Michele; Zanzotto, Fabio Massimo",,,,,,Meaning Coordination and Negotiation (MCN-04),,,,,83,,Citeseer,,XeOML: An XML-based extensible Ontology Mapping,,2004,
,,,,"Pazienza, Maria Teresa; Pennacchiotti, Marco; Zanzotto, Fabio Massimo",13th IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises,,,,,,,,,IEEE,364--369,,,,Modelling Semantic Grid knowledge embedded in documents,,2004,
,,,,"Pazienza, M; Pennacchiotti, Marco; Zanzotto, Fabio Massimo",ECAI,,,,,,,,,,1071,,,,Identifying relational concept lexicalisations by using general linguistic knowledge,16,2004,
,,,,"Paggio, Patrizia; Hansen, Dorte H; Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",,,,,,OntoLex (LREC),,,,,,,,,Ontology-based question analysis in a multilingual environment: the MOSES case study,106,2004,
,,,,"Missier, P; Atzeni, P; Basili, R; Hansen, DH; Paggio, P; Pazienza, MT; Zanzotto, FM","Natural Language Processing and Information Systems, 9th International Conference on Applications of Natural Languages to Information Systems (NLDB)",,,,,,,,,Newcastle University,,,,,Ontology-Based Question Answering in a Federation of University Sites: The MOSES Case Study,,2004,
,,,,"Guthrie, Louise; Basili, Roberto; Zanzotto, Fabio Massimo; Bontcheva, Kalina; Cunningham, Hamish; Guthrie, David; Cui, Jia; Cammisa, Marco; Liu, Jerry Cheng-Chieh; Martin, Cassia Farria; others",LREC,,,,,,,,,,,,,,Large Scale Experiments for Semantic Labeling of Noun Phrases in Raw Text.,,2004,
,,,,"Basili, Roberto; Vindigni, Michele; Zanzotto, Fabio Massimo",Proceedings of Workshop OntoLex 2004,,,,,,,,,,,,,,Integrating semantic lexicons and domain ontologies,,2004,
,,,,"Basili, Roberto; Vindigni, Michele; Zanzotto, Fabio Massimo",IEEE/WIC/ACM International Conference on Web Intelligence (WI'04),,,,,,,,,IEEE,736--739,,,,Understanding the Web through its Language,,2004,
,,,,"Basili, Roberto; Lorusso, Nicola; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",LREC,,,,,,,,,,,,,,A2Q: An Agent-based Architecure for Multilingual Q\&A.,,2004,
,,,,"Basili, Roberto; Hansen, Dorte Haltrup; Paggio, Patrizia; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",Proceedings of the Workshop on Pragmatics of Question Answering at HLT-NAACL 2004,,,,,,,,,,78--84,,,,Ontological resources and question answering,,2004,
,,,,"Basili, Roberto; Cammisa, Marco; Zanzotto, Fabio Massimo",LREC,,,,,,,,,,,,,,A Similarity Measure for Unsupervised Semantic Disambiguation.,,2004,
,,,,"Atzeni, Paolo; Basili, Roberto; Hansen, Dorte Haltrup; Missier, Paolo; Paggio, Patrizia; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",International Conference on Application of Natural Language to Information Systems,,,,,,,,,"Springer Berlin Heidelberg Berlin, Heidelberg",413--420,,,,Ontology-based question answering in a federation of university sites: the MOSES case study,,2004,
,,,,"Montemagni, Simonetta; Barsotti, Francesco; Battista, Marco; Calzolari, Nicoletta; Corazzari, Ornella; Zampolli, Antonio; Fanciulli, Francesca; Massetani, Maria; Raffaelli, Remo; Basili, Roberto; others",,,,,,LINGUISTICA COMPUTAZIONALE,,,,,,,,,"The Italian syntactic-semantic treebank: Architecture, annotation, tools and evaluation",16,2003,
,,,,"Montemagni, Simonetta; Barsotti, Francesco; Battista, Marco; Calzolari, Nicoletta; Corazzari, Ornella; Lenci, Alessandro; Zampolli, Antonio; Fanciulli, Francesca; Massetani, Maria; Raffaelli, Remo; others",Treebanks: Building and using parsed corpora,,,,,,,,,,189--210,,Springer Netherlands Dordrecht,,Building the Italian syntactic-semantic treebank,,2003,
,,,,"Montemagni, Simonetta; Barsotti, Francesco; Battista, Marco; Calzolari, Nicoletta; Corazzari, Ornella; Lenci, Alessandro; Pirrelli, Vito; Zampolli, Antonio; Fanciulli, Francesca; Massetani, Maria; others",,,,,,Linguistica Computazionale,,,XVI-XVII,,461--492,,,,The syntactic-semantic treebank of italian. an overview,2003,2003,
,,,,"Guthrie, Louise; Basili, Roberto; Zanzotto, Fabio; Bontcheva, Kalina; Cunningham, Hamish; Cammisa, Marco; Liu, Jerry Cheng-Chieh; Cui, Jia; Martin, Cassia Faria; Guthrie, David; others",,,,,,,,,,,,,,,Semantic Analysis for Data Sparsity Compensation (SPARSE),,2003,
,,,,"Basili, Roberto; Vindigni, Michele; Zanzotto, Fabio Massimo",Proceedings IEEE/WIC International Conference on Web Intelligence (WI 2003),,,,,,,,,IEEE,175--181,,,,Integrating ontological and linguistic knowledge for conceptual information extraction,,2003,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",Workshop on Adaptive Text Extraction and Mining (ATEM 2003) held in conjuction with Europena Conference on Machine Learning (ECML 2003) Cavtat (Croatia),,,,,,,,,,,,,,Exploiting the feature vector model for learning linguistic representations of relational concepts,,2003,
,,,,"Moschitti, Alessandro; Zanzotto, FM; others",Proceedings of 2nd Workshop of Robust Methods in Analysis of Natural language Data (ROMAND),,,,,,,,,,,,,,A robust summarization system to explain document categorization,,2002,
,,,,"Basili, Roberto; Zanzotto, Fabio Massimo",,,,,,Natural Language Engineering,,,2-3,,97--120,,Cambridge University Press,,Parsing engineering and empirical robustness,8,2002,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",Workshop of Event Modelling for Multilingual Document Linking at LREC,,,,,,,,,,,,,,Learning IE patterns: a terminology extraction perspective,,2002,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",Proceedings of the 15th European Conference on Artificial Intelligence,,,,,,,,,,480--484,,,,Acquisition of domain conceptual dictionaries via decision tree learning,,2002,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",COLING 2002: The 19th International Conference on Computational Linguistics,,,,,,,,,,,,,,Decision trees as explicit domain term definitions,,2002,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, F Massimo",Proceedings. International Conference on Information Technology: Coding and Computing,,,,,,,,,IEEE,548--553,,,,Web-based information access: Multilingual automatic authoring,,2002,
,,,,"Basili, Roberto; Catizone, Roberta; Padr{\'o}, Llu{\'\i}s; Pazienza, Maria Teresa; Rigau, German; Setzer, Andrea; Webb, Nick; Zanzotto, Fabio Massimo",COLING-02: SEMANET: Building and Using Semantic Networks,,,,,,,,,,,,,,Knowledge-based multilingual document analysis,,2002,
,,,,"Basili, R; Moschitti, A; Pazienza, MT; Zanzotto, FM",The Workshop Programme,,,,,,,,,,17,,,,A Semantic-driven Approach to Hypertextual Authoring,,2002,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo; Catizone, Roberta; Setzer, Andrea; Webb, Nick; Wilks, Yorick; Padr{\'o}, Llu{\'\i}s; Rigau, German",Proceedings of the ACL 2001 Workshop on Human Language Technology and Knowledge Management,,,,,,,,,,,,,,Multilingual authoring: the namic approach,,2001,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",Congress of the Italian Association for Artificial Intelligence,,,,,,,,,"Springer Berlin Heidelberg Berlin, Heidelberg",308--313,,,,Flexible parsing architectures for NLP applications,,2001,
,,,,"Basili, Roberto; Pazienza, M; Zanzotto, F","Proceedings of the International Conference on Recent Advances in Natural Language Processing’, Bulgaria",,,,,,,,,,,,,,Modelling syntactic context in automatic term extraction,,2001,
,,,,"Basili, Roberto; Moschitti, Alessandro; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo","Proceedings of the 4th Terminology and Artificial Intelligence Conference (TIA)’, France",,,,,,,,,,,,,,A contrastive approach to term extraction,,2001,
,,,,"Montemagni, S; Barsotti, F; Battista, M; Calzolari, N; Corazzari, O; Lenci, A; Zampolli, A; Fanciulli, F; Massetani, M; Raffaelli, R; others",,,,,,,,,,,,,DEU,,The Italian Syntactic-Semantic Treebank,,2000,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",Proceedings of the Sixth International Workshop on Parsing Technologies,,,,,,,,,,41--52,,,,Customizable modular lexicalized parsing,,2000,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Vindigni, Michele; Zanzotto, Fabio Massimo",LREC,,,,,,,,,,,,,,Tuning Lexicons to New Operational Scenarios.,,2000,
,,,,"Barsotti, FRANCESCO; Basili, R; Battista, M; Calzolari, N; Corazzari, O; Monte, R; Fanciulli, F; Mana, N; Massetani, M; Montemagni, S; others",,,,,,Language and speech series,,,,,189--210,,Kluwer,,"The Italian Syntactic-Semantic Treebank: Architecture, Annotation, Tools and Evaluation",,2000,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",,,,,,Proceedings of TALN’99,,,,,,,,,Lexicalizing a shallow parser,,1999,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Vindigni, Michele; Zanzotto, Fabio Massimo",,,,,,Proceedings of the Associazione Italiana per l’Intelligenza Artificiale (AI* IA99),,,,,,,,,Adaptive parsing for time-constrained tasks,,1999,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",Proceedings of the 13th European Conference on Artificial Intelligence (ECAI-98),,,,,,,,,,135--139,,,,Efficient parsing for information extraction,,1998,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo","Proceedings of the International Conference on Language Resources and Evaluation, LREC 1998",,,,,,,,,,,,,,Evaluating a robust parser for Italian language,,1998,
,,,,"Basili, R; Pazienza, Mt; Zanzotto, Fm; others","Proceedings of the Workshop on The Evaluation of Parsing System, held with the International Conference on Language Resources and Evaluation",,,,,,,,,,,,,,"Workshop on The Evaluation of Parsing System, held with the International Conference on Language Resources and Evaluation",,1998,
,,,,"Zanzotto, Fabio Massimo",,,,,,,,,,,,,,"Thesis Dissertation, Faculty of Engineering, University of Roma, Tor Vergata",Una Metodologia Stratificata per la Analisi del Linguaggio Naturale: il sistema CHAOS,,1997,
,,,,"Zanzotto, Fabio Massimo; Tudorache, Alexandra Gabriela",,,,,,,,,,,,,,,Travel With Words,,-,
,,,,"Zanzotto, Fabio Massimo; Pennacchiotti, Marco; Moschitti, Alessandro",,,,,,,,,,,,,,,Our solution:• Semi-automatically extracting entailment corpora from wikipedia revision system• Learning first-order rewrite rules from annotated examples,,-,
,,,,"Zanzotto, Fabio Massimo; Fallucchi, Francesca",,,,,,,,,,,,,,,Transitivity in Semantic Relation Learning,,-,
,,,,"Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,Costruzione di ontologie per sistemi di Information Extraction: un approccio terminologico,,-,
,,,,"Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,Structured Kernels for Natural Lanuguage Processing,,-,
,,,,"Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,Lorenzo Dell’Arciprete,,-,
,,,,"Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,Fondamenti di Informatica per Umanisti,,-,
,,,,"Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,Could a Neuroscientist Understand a Microprocessor?” and “Reading what Machines think,,-,
,,,,"Zanzotto, Fabio",,,,,,,,,,,,,,,Recognizing Textual Entailment,,-,
,,,,"Pazienza, Maria Teresa; Stellato, Armando; Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,NEED: NEW E-LEARNING ENVIRONMENT AND DEMONSTRATORS,,-,
,,,,"MONTEMAGNI, SIMONETTA; BARSOTTI, FRANCESCO; BATTISTA, MARCO; CALZOLARI, NICOLETTA; CORAZZARI, ORNELLA; LENCI, ALESSANDRO; PIRRELLI, VITO; ZAMPOLLI, ANTONIO; FANCIULLI, FRANCESCA; MASSETANI, MARIA; others",,,,,,,,,,,,,,,THE SYNTACTIC-SEMANTIC TREEBANK OF ITALIAN,,-,
,,,,"Lorenzo, Ferrone; Zanzotto, Fabio Massimo; Carreras, Xavier",,,,,,,,,,,,,,,Decoding Distributed Tree Structures,,-,
,,,,"Fanciulli, Francesca; Massetani, Maria; Raffaelli, Remo; Basili, Roberto; Pazienza, Maria Teresa; Saracino, Dario; Zanzotto, Fabio; Mana, Nadia; Pianesi, Fabio",,,,,,,,,,,,,,,BUILDING THE ITALIAN SYNTACTIC-SEMANTIC TREEBANK,,-,
,,,,"Bosco, Cristina; Tonelli, Sara; Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,La scrittura in emoji tra dizionario e traduzione,,-,
,,,,"Bosco, Cristina; Tonelli, Sara; Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,Costituzione di un corpus giuridico parallelo italiano-arabo,,-,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,Ontology Mapping: a survey and a proposal.,,-,
,,,,"Basili, Roberto; Pazienza, Maria Teresa; Saracino, Dario; Zanzotto, Fabio Massimo",,,,,,,,,,,,,,,GesTALt: the Italian Syntactic-Semantic Treebank annotation tool,,-,
